ID,DOI,Abstract
44,10.1097/00126097-200104000-00006,"Background: Aneroid manometers are frequently used to measure blood pressure. Aneroid manometers have moving parts that are subject to fatigue. The accuracy duration of the aneroid devices, like most digital devices, is unstudied. It has been accepted that if the aneroid device does not rest at '0' it is inaccurate, but how often is the device inaccurate when it does rest at '0'? Methods: A Universal Biometer DPM-III measuring unit was used for all of the measurements at 10 University of Michigan Health System sites. A total of 136 aneroid manometers were tested. Two additional aneroid devices were not tested, as the needle did not start within '0'. Static pressure measurements were made at nine levels for all devices: 50, 80, 90, 100, 120, 150, 200 and 250mmHg. Results: The average difference of the nine pressure settings of the whole group was 0.2+/-0.31 (95% confidence interval 0.1-0.2) mmHg. The largest number of devices that were not calibrated within +/-3mmHg was seen at the 150mmHg setting with six (4.4%) of the devices failing. If an accuracy standard of +/-2mmHg was used, the largest number of devices failed at 250mmHg (22 devices, 16.2%). The largest number of devices that were inaccurate was manufactured 6 years prior to testing and was from two sites. Conclusions: Aneroid devices were accurate. A yearly calibration programme should be performed and a +/-2mmHg standard should be used. Portable aneroid manometers may need to be more frequently calibrated due to the trauma associated with dropping."
45,10.1001/archinte.161.5.729,"Background: The aneroid sphygmomanometer is commonly used for the indirect measurement of blood pressure despite significant concerns about its accuracy. Although the mercury sphygmomanometer is highly accurate, there are concerns about the environmental toxicity of mercury. In response to various external pressures to become essentially mercury free, the Mayo Clinic, Rochester, Minn, has replaced many mercury sphygmomanometers with aneroid devices. Since 1993, a maintenance protocol has been in place to ensure proper function and accuracy of these devices. Methods: We assessed the accuracy of 283 aneroid devices using as the reference standard a digital pressure and vacuum meter that was calibrated using a mercury sphygmomanometer. Results: The mean +/- SD values from the aneroid device in millimeters of mercury at each reference point (at 20-mm Hg intervals from 60 to 240 mm Hg defined by the reference device) were 59.9 +/- 1.9 at 60; 79.9 +/- 1.9 at 80; 100.0 +/- 1.8 at 100; 120.3 +/- 1.8 at 120; 140.7 +/- 1.4 at 140; 160.7 +/- 1.7 at 160; 180.9 +/- 1.3 at 180; 200.7 +/- 5.0 at 200; 221.0 +/- 1.3 at 220; and 240.8 +/- 1.6 at 240 (r = 0.99; P<.001). The values from the aneroid device underestimated those of the reference device by a mean of 0.5 mm Hg (95% confidence interval, 0.3-0.7). Virtually 100% of the values from the aneroid device were within the 4-mm Hg range recommended by the Association for the Advancement of Medical Instrumentation. Conclusion: Aneroid sphygmomanometers provide accurate pressure measurements when a proper maintenance protocol is followed."
46,10.1038/sj.jhh.1000589,"The objective of this study was to assess the accuracy and reliability of mercury and aneroid sphygmomanometers. Measurement of accuracy of calibration and evaluation of physical conditions were carried out in 524 sphygmomanometers, 351 from a hospital setting, and 173 from private medical offices. Mercury sphygmomanometers were considered inaccurate if the meniscus was not '0' at rest. Aneroid sphygmomanometers were tested against a properly calibrated mercury manometer, and were considered calibrated when the error was < or =3 mm Hg. Both types of sphygmomanometers were evaluated for conditions of cuff/bladder, bulb, pump and valve. Of the mercury sphygmomanometers tested 21 % were found to be inaccurate. Of this group, unreliability was noted due to: excessive bouncing (14%), illegibility of the gauge (7%), blockage of the filter (6%), and lack of mercury in the reservoir (3%). Bladder damage was noted in 10% of the hospital devices and in 6% of private medical practices. Rubber aging occurred in 34% and 25%, leaks/holes in 19% and 18%, and leaks in the pump bulb in 16% and 30% of hospital devices and private practice devices, respectively. Of the aneroid sphygmomanometers tested, 44% in the hospital setting and 61% in private medical practices were found to be inaccurate. Of these, the magnitude of inaccuracy was 4-6 mm Hg in 32%, 7-12 mm Hg in 19% and > 13 mm Hg in 7%. In summary, most of the mercury and aneroid sphygmomanometers showed inaccuracy (21% vs 58%) and unreliability (64% vs 70%)."
47,10.1016/j.ccl.2010.07.006,"Although the mercury sphygmomanometer is widely regarded as the “gold standard” for office blood pressure measurement, the ban on use of mercury devices continues to diminish their role in office and hospital settings. To date, mercury devices have largely been phased out in US hospitals. This has led to the proliferation of non-mercury devices and has changed (probably for ever) the preferable modality of blood pressure measurement in clinic and hospital settings. In this article, the basic techniques of blood pressure measurement and the technical issues associated with measurements in clinical practice are discussed. The devices currently available for hospital and clinic measurements and their important sources of error are presented. Practical advice is given on how the different devices and measurement techniques should be used. Blood pressure measurements in different circumstances and in special populations such as infants, children, pregnant women, elderly persons, and obese subjects are discussed."
49,10.1007/s11517-009-0532-2,"Non-invasive blood pressure (NIBP) simulators are used in clinical environment for quick checks of blood pressure monitors as a part of technical maintenance and health-care quality assurance system. They are also included in various tests within the procedures for testing NIBP monitors. In practice simulators are often subject to mechanical and electromagnetic shocks which could effect their measuring function. Our objective was to design a procedure for testing the reliability and quality of simulators in order to ensure reliable testing of NIBP monitors. Procedure for evaluation of NIBP simulators, consisting of a static and dynamic test, is proposed. Static test consisted of procedures derived from common electro-mechanical manometer calibration, while dynamic test included testing of repeatability of simulator's output. A commercial simulator was tested. Among others, the results indicated that evaluations of NIBP simulators should be performed regularly with a suitable time interval in order to track the metrological quality of the simulator in time. Acceptance criteria for a reliable simulator in both static and dynamic sense are proposed."
50,10.1097/HJH.0000000000001634,"In the last 30 years, several organizations, such as the US Association for the Advancement of Medical Instrumentation (AAMI), the British Hypertension Society, the European Society of Hypertension (ESH) Working Group on Blood Pressure (BP) Monitoring and the International Organization for Standardization (ISO) have developed protocols for clinical validation of BP measuring devices. However, it is recognized that science, as well as patients, consumers and manufacturers would be best served if all BP measuring devices were assessed for accuracy according to an agreed single validation protocol that had global acceptance. Therefore, an international initiative was taken by AAMI, ESH and ISO experts who agreed to develop a universal standard for device validation. This statement presents the key aspects of a validation procedure, which were agreed by the AAMI, ESH and ISO representatives as the basis for a single universal validation protocol. As soon as the AAMI/ESH/ISO standard is fully developed, this will be regarded as the single universal standard and will replace all other previous standards/protocols."
52,10.3390/biom11060868,"Blood pressure (BP) follows a circadian rhythm, it increases on waking in the morning and decreases during sleeping at night. Disruption of the circadian BP rhythm has been reported to be associated with worsened cardiovascular and renal outcomes, however the underlying molecular mechanisms are still not clear. In this review, we briefly summarized the current understanding of the circadian BP regulation and provided therapeutic overview of the relationship between circadian BP rhythm and cardiovascular and renal health and disease."
53,10.1155/2012/437350,"Blood pressure self-measurement (BPSM) requires patients to follow a range of recommendations in order to be considered reliable for diagnostic use. We investigated currently used BPSM interventions at four medical clinics combined with an online questionnaire targeting BPSM users. We found that the participating healthcare personnel perceived BPSM as a relevant and useful intervention method providing that the recommendations are followed. A total of six challenges were identified: (1) existing devices do not guarantee that the recommendations are followed, (2) healthcare providers cannot verify whether self-monitoring patients follow the recommendations, (3) patients are not aware of all recommendations and the need to follow them, (4) risk of patient induced reporting bias, (5) risk of healthcare provider induced data-transfer bias, and (6) risk of data being registered as belonging to the wrong patient. We conclude that existing BPSM interventions could be significantly affected by user-induced bias resulting in an indeterminable quality of the measurement data. Therefore, we suggest applying context-aware technological support tools to better detect and quantify user errors. This may allow us to develop solutions that could overcome or compensate for such errors in the future."
55,10.1088/1361-6579/ac890e,"Objective: Accurate and reliable blood pressure (BP) measurement is important for the prevention and treatment of hypertension. The oscillometric-based automatic office blood pressure measurement (AOBPM) is widely used in hospitals and clinics, but measurement errors are common in BP measurements. There is a lack of systematic review of the sources of measurement errors.Approach: A systematic review of all existing research on sources of AOBPM errors. A search strategy was designed in six online databases, and all the literature published before October 2021 was selected. Those studies that used the AOBPM device to measure BP from the upper arm of subjects were included.Main results: A total of 1365 studies were screened, and 224 studies were included in this final review. They investigated 22 common error sources with clinical AOBPM. Regarding the causes of BP errors, this review divided them into the following categories: the activities before measurement, patient's factors, measurement environment, measurement procedure, and device settings. 13 sources caused increased systolic and diastolic BP (SBP and DBP), 2 sources caused the decrease in SBP and DBP, only 1 source had no significant effect on BPs, and the other errors had a non-uniform effect (either increase or decrease in BPs). The error ranges for SBP and DBP were -14 to 33 mmHg and -6 to 19 mmHg, respectively.Significance: The measurement accuracy of AOBPM is susceptible to the influence of measurement factors. Interpreting BP readings need to be treated with caution in clinical measurements. This review made comprehensive evidence for the need for standardized BP measurements and provided guidance for clinical practitioners when measuring BP with AOBPM devices."
56,10.1161/HYP.0000000000000087,"The accurate measurement of blood pressure (BP) is essential for the diagnosis and management of hypertension. This article provides an updated American Heart Association scientific statement on BP measurement in humans. In the office setting, many oscillometric devices have been validated that allow accurate BP measurement while reducing human errors associated with the auscultatory approach. Fully automated oscillometric devices capable of taking multiple readings even without an observer being present may provide a more accurate measurement of BP than auscultation. Studies have shown substantial differences in BP when measured outside versus in the office setting. Ambulatory BP monitoring is considered the reference standard for out-of-office BP assessment, with home BP monitoring being an alternative when ambulatory BP monitoring is not available or tolerated. Compared with their counterparts with sustained normotension (ie, nonhypertensive BP levels in and outside the office setting), it is unclear whether adults with white-coat hypertension (ie, hypertensive BP levels in the office but not outside the office) have increased cardiovascular disease risk, whereas those with masked hypertension (ie, hypertensive BP levels outside the office but not in the office) are at substantially increased risk. In addition, high nighttime BP on ambulatory BP monitoring is associated with increased cardiovascular disease risk. Both oscillometric and auscultatory methods are considered acceptable for measuring BP in children and adolescents. Regardless of the method used to measure BP, initial and ongoing training of technicians and healthcare providers and the use of validated and calibrated devices are critical for obtaining accurate BP measurements."
57,10.1097/HJH.0000000000001197,"Background: To interpret blood pressure (BP) data appropriately, healthcare providers need to be knowledgeable of the factors that can potentially impact the accuracy of BP measurement and contribute to variability between measurements. Methods: A systematic review of studies quantifying BP measurement inaccuracy. Medline and CINAHL databases were searched for empirical articles and systematic reviews published up to June 2015. Empirical articles were included if they reported a study that was relevant to the measurement of adult patients’ resting BP at the upper arm in a clinical setting (e.g. ward or office); identified a specific source of inaccuracy; and quantified its effect. Reference lists and reviews were searched for additional articles. Results: A total of 328 empirical studies were included. They investigated 29 potential sources of inaccuracy, categorized as relating to the patient, device, procedure or observer. Significant directional effects were found for 27; however, for some, the effects were inconsistent in direction. Compared with true resting BP, significant effects of individual sources ranged from −23.6 to +33 mmHg SBP and −14 to +23 mmHg DBP. Conclusion: A single BP value outside the expected range should be interpreted with caution and not taken as a definitive indicator of clinical deterioration. Where a measurement is abnormally high or low, further measurements should be taken and averaged. Wherever possible, BP values should be recorded graphically within ranges. This may reduce the impact of sources of inaccuracy and reduce the scope for misinterpretations based on small, likely erroneous or misleading, changes."
59,10.1007/BF01695937,"The importance of cuff deflation rate in the auscultatory method of measuring blood pressure was investigated using a computer-based model. To determine the relationship between the cuff deflation rate and the measurement error, two cuff deflation protocols were used, one based on heart rate (mm Hg per heartbeat), the other on a constant rate (mm Hg per second). The different deflation protocols and rates were tested using a constant blood pressure of 120/80 mm Hg and heart rates ranging from 40 to 120 beats/min. It was confirmed that a cuff deflation rate that is time based will introduce larger errors at low heart rates. Using heart rate as a basis for cuff deflation rate yields a constant error that is independent of heart rate. The currently used standard of 3 mm Hg/s could result in a maximum error of 2.5 mm Hg in both systolic and diastolic pressures at a heart rate of 72 beats/min. The maximum systolic and diastolic errors increase to more than 4 mm Hg at 40 beats/min. A deflation rate of 2 mm Hg/beat, however, yields a maximum error of 2 mm Hg for both systolic and diastolic pressures, independent of heart rate. A cuff deflation rate based on heart rate is recommended to help minimize changes in measurement error when measuring blood pressure if a wide range of heart rates will be encountered."
60,- missing - PMID: 17925905,"Background: Hypertension is the most commonly managed problem in general practice. Systematic errors in blood pressure measurements caused by inadequate sphygmomanometer calibration are a common cause of over- and underidentification of hypertension. Objective: This article reviews sphygmomanometer error and makes recommendations regarding in service maintenance and calibration of sphygmomanometers. Discussion: Most sphygmomanometer surveys report high rates of inadequate calibration and other faults, particularly in aneroid sphygmomanometers. Automatic electronic sphygmomanometers produce systematic errors in some patients. All sphygmomanometers should be checked and calibrated by an accredited laboratory at least annually. Aneroid sphygmomanometers should be calibrated every 6 months. Only properly validated automatic sphygmomanometers should be used. Practices should perform regular in house checks of sphygmomanometers. Good sphygmomanometer maintenance and traceable sphygmomanometer calibration will contribute to reducing the burden of cardiovascular disease and the number of patients overtreated for hypertension in Australia."
61,10.1097/00126097-200410000-00004,"Objective: To estimate the effects of systematic errors in measurements of blood pressure on the diagnosis of hypertension. Methods: We fitted regression curves to distributions of diastolic and systolic BP from recent Canadian and UK surveys and calculated the effect of systematic measurement errors on changes in the numbers of patients who would be classified hypertensive at thresholds of 85, 90 and 95 mmHg diastolic and 140 and 160 mmHg systolic pressure respectively. Results: Overestimation of diastolic BP by 5 mmHg increases the number of patients whose diastolic BP exceeds 85, 90 and 95 mmHg by 102, 132 and 166% respectively. Equivalent underestimation causes 57, 62 and 67% respectively of hypertensive patients to be missed. If systematic error in diastolic pressure is limited to +/-1 mmHg the diagnosis errors are between -15 and +23%. Overestimation of systolic BP by 3 and 5 mmHg increases the number classified as hypertensive by 24 and 43% respectively. Equivalent underestimation causes 19 and 30% of patients with systolic hypertension to be missed. Conclusions: Small systematic errors in BP measurements may cause large variations in the proportion of patients diagnosed as hypertensive. To limit over- or under-diagnosis of diastolic hypertension to approximately 20%, systematic errors in diastolic BP measurements should be limited to 1 mmHg. An uncertainty of 3 mmHg may be adequate for detecting systolic hypertension."
62,- missing - ISSN:1791-5201,"Objective: This study was conducted to determine the level of knowledge of healthcare professionals regarding calibration and their ability to consider device calibration for medical measurements. Methods: Purposive sampling method was used in this cross-sectional descriptive study. The study sample comprised 541 healthcare professionals. The data were collected using personal information form and 'Medical Device Calibration Information Form'. Results: 72.2% of participants did not receive training on calibration, 40.5% indicated that they had no information about the presence of uncalibrated equipment in their units, and 14.3% reported uncalibrated devices in their units. Total knowledge scores of female participants or those at the age of 35 and older, and doctors or laborants were determined to be significantly higher than the other participants (p <0.05). Conclusions: It was determined that healthcare professionals had a low level of knowledge about calibration, used non-calibrated medical devices, and did not receive training on calibration. It is recommended that calibration should be introduced as a subject in both the university curriculum and in-service training programs for healthcare professionals."
63,10.1161/01.CIR.0000154900.76284.F6,"Accurate measurement of blood pressure is essential to classify individuals, to ascertain blood pressure-related risk, and to guide management. The auscultatory technique with a trained observer and mercury sphygmomanometer continues to be the method of choice for measurement in the office, using the first and fifth phases of the Korotkoff sounds, including in pregnant women. The use of mercury is declining, and alternatives are needed. Aneroid devices are suitable, but they require frequent calibration. Hybrid devices that use electronic transducers instead of mercury have promise. The oscillometric method can be used for office measurement, but only devices independently validated according to standard protocols should be used, and individual calibration is recommended. They have the advantage of being able to take multiple measurements. Proper training of observers, positioning of the patient, and selection of cuff size are all essential. It is increasingly recognized that office measurements correlate poorly with blood pressure measured in other settings, and that they can be supplemented by self-measured readings taken with validated devices at home. There is increasing evidence that home readings predict cardiovascular events and are particularly useful for monitoring the effects of treatment. Twenty-four-hour ambulatory monitoring gives a better prediction of risk than office measurements and is useful for diagnosing white-coat hypertension. There is increasing evidence that a failure of blood pressure to fall during the night may be associated with increased risk. In obese patients and children, the use of an appropriate cuff size is of paramount importance."
64,10.1007/978-3-319-77932-4_9,"Hypertension is one of the leading risk factors for cardiovascular disease, myocardial infarction, and stroke. There are gender differences in the prevalence of hypertension and in the mechanisms responsible for hypertension in humans. This review will discuss the mechanisms for regulation of blood pressure, sex differences that have been identified in animal studies, and the gender differences that have been identified in humans."
65,10.1186/2042-6410-3-7,"Men have higher blood pressure than women through much of life regardless of race and ethnicity. This is a robust and highly conserved sex difference that it is also observed across species including dogs, rats, mice and chickens and it is found in induced, genetic and transgenic animal models of hypertension. Not only do the differences between the ovarian and testicular hormonal milieu contribute to this sexual dimorphism in blood pressure, the sex chromosomes also play a role in and of themselves. This review primarily focuses on epidemiological studies of blood pressure in men and women and experimental models of hypertension in both sexes. Gaps in current knowledge regarding what underlie male-female differences in blood pressure control are discussed. Elucidating the mechanisms underlying sex differences in hypertension may lead to the development of anti-hypertensives tailored to one's sex and ultimately to improved therapeutic strategies for treating this disease and preventing its devastating consequences."
66,10.1161/01.hyp.37.5.1199,"Men are at greater risk for cardiovascular and renal disease than are age-matched, premenopausal women. Recent studies using the technique of 24-hour ambulatory blood pressure monitoring have shown that blood pressure is higher in men than in women at similar ages. After menopause, however, blood pressure increases in women to levels even higher than in men. Hormone replacement therapy in most cases does not significantly reduce blood pressure in postmenopausal women, suggesting that the loss of estrogens may not be the only component involved in the higher blood pressure in women after menopause. In contrast, androgens may decrease only slightly, if at all, in postmenopausal women. In this review the possible mechanisms by which androgens may increase blood pressure are discussed. Findings in animal studies show that there is a blunting of the pressure-natriuresis relationship in male spontaneously hypertensive rats and in ovariectomized female spontaneously hypertensive rats treated chronically with testosterone. The key factor in controlling the pressure-natriuresis relationship is the renin-angiotensin system (RAS). The possibility that androgens increase blood pressure via the RAS is explored, and the possibility that the RAS also promotes oxidative stress leading to production of vasoconstrictor substances and reduction in nitric oxide availability is proposed."
67,10.1001/jamacardio.2019.5306,"Importance: If we assume that women and men exhibit variations of the same fundamental vascular physiology, then conventional analyses of subclinical measures would suggest that women catch up to men by midlife in the extent of potentially important vascular disease. Alternatively, under the assumption that vascular physiology may fundamentally differ between women and men, a sex-specific analysis of existing data could offer new insights and augment our understanding of sex differences in cardiovascular diseases. Objective: To evaluate whether longitudinal patterns of blood pressure (BP) elevation differ between women and men during the life course when considering baseline BP levels as the reference. Design, setting, and participants: We conducted sex-specific analyses of longitudinal BP measures (144 599 observations) collected for a period of 43 years (1971 to 2014) in 4 community-based US cohort studies. The combined total included 32 833 participants (54% female) spanning ages 5 to 98 years. Data were analyzed between May 4, 2019, and August 5, 2019. Exposures: Age and serially assessed longitudinal BP measures: systolic BP, diastolic BP, mean arterial pressure (MAP), and pulse pressure (PP). Main outcomes and measures: Sex-specific change in each primary BP measure compared with baseline BP levels, derived from multilevel longitudinal models fitted over the age span, and new-onset cardiovascular disease events. Results: Of the 32 833 participants, 17 733 were women (54%). Women compared with men exhibited a steeper increase in BP that began as early as in the third decade and continued through the life course (likelihood ratio test χ2 = 531 for systolic BP; χ2 = 123 for diastolic BP; χ2 = 325 for MAP; and χ2 = 572 for PP; P for all <.001). After adjustment for multiple cardiovascular disease risk factors, these between-sex differences in all BP trajectories persisted (likelihood ratio test χ2 = 314 for systolic BP; χ2 = 31 for diastolic BP; χ2 = 129 for MAP; and χ2 = 485 for PP; P for all <.001). Conclusions and relevance: In contrast with the notion that important vascular disease processes in women lag behind men by 10 to 20 years, sex-specific analyses indicate that BP measures actually progress more rapidly in women than in men, beginning early in life. This early-onset sexual dimorphism may set the stage for later-life cardiovascular diseases that tend to present differently, not simply later, in women compared with men."
68,10.1093/ajh/hpx173,"Background: This work aimed to explore whether different forms of a simple isometric exercise test could be used to predict the blood pressure (BP)-lowering efficacy of different types of isometric resistance training (IRT) in healthy young adults. In light of the emphasis on primary prevention of hypertension, identifying those with normal BP who will respond to IRT is important. Also, heightened BP reactivity increases hypertension risk, and as IRT reduces BP reactivity in patients with hypertension, it warrants further investigation in a healthy population. Methods: Forty-six young men and women (24 ± 5 years; 116 ± 10/ 68 ± 8 mm Hg) were recruited from 2 study sites: Windsor, Canada (n = 26; 13 women), and Northampton, United Kingdom (n = 20; 10 women). Resting BP and BP reactivity to an isometric exercise test were assessed prior to and following 10 weeks of thrice weekly IRT. Canadian participants trained on a handgrip dynamometer (isometric handgrip, IHG), while participants in the UK trained on an isometric leg extension dynamometer (ILE). Results: Men and women enrolled in both interventions demonstrated significant reductions in systolic BP (P < 0.001) and pulse pressure (P < 0.05). Additionally, test-induced systolic BP changes to IHG and ILE tests were associated with IHG and ILE training-induced reductions in systolic BP after 10 weeks of training, respectively (r = 0.58 and r = 0.77; for IHG and ILE; P < 0.05). Conclusions: The acute BP response to an isometric exercise test appears to be a viable tool to identify individuals who may respond to traditional IRT prescription."
69,- missing - PMID: 22314980,"Evidence exists that women have lower orthostatic tolerance than men during quiescent standing. Water ingestion has been demonstrated to improve orthostatic tolerance in patients with severe autonomic dysfunction. We therefore sought to test the hypothesis that water ingestion would improve orthostatic tolerance in healthy young women more than in aged-matched men. Thirty seven (22 men and 15 women) healthy subjects aged 22.5± 1.7 and 21.5±1.4 (means±SD) respectively, ingested 50ml (control) and 500ml of water 40min before orthostatic challenge on two separate days of appointment in a randomized controlled, cross-over design. Seated and standing blood pressure and heart rate were determined. Orthostatic tolerance was assessed as the time to presyncope during standing. Ingesting 500ml of water significantly improves orthostatic tolerance by 22% (32.0 ± 5.2 vs 26.2 ± 2.4min; p< 0.05) in men and by 33% (24.2±2.8 vs 18.3 ± 3.2; p< 0.05) in women. Thirty minutes after ingesting 500ml of water, seated systolic blood pressure, diastolic blood pressure, pulse pressure and mean arterial pressure rose significantly in men while only systolic blood pressure and pulse pressure rose significantly in women. However ingesting 500ml of water did not have significant effect on seated heart rate in both men and women. Ingestion of 500ml of water significantly attenuated both the orthostatic challenge-induced increased heart rate and decreased pulse pressure responses especially in women. Diastolic blood pressure tended to be positively correlated with orthostatic tolerance strongly in men than in women. Pulse pressure correlated positively while heart rate correlated negatively to orthostatic tolerance in women but not in men independent of other correlates. Water ingestion is associated with orthostatic tolerance strongly in women but weakly in men independent of other correlates. In conclusion, the findings in the present study demonstrated that water ingestion caused improvement strongly in young women than in young men. This improvement is associated with increased pulse pressure and decreased tachycardiac responses during orthostatic challenge."
70,- missing - https://www.e-jehs.org/journal/view.html?doi=,"Smoking of tobacco cigarettes is associated with a rise in blood pressure together with increase in heart rate. This study was aimed to examine the acute effect of tobacco and non-tobacco cigarette smoking on the blood pressure and heart rate by randomized crossover study. In the results, systolic/diastolic blood pressure and heart rate changes after smoking were significantly different between male and female group. Blood pressure and heart rate were elevated after smoking, but statistical significance for the difference was identified only in the female group. Because Non-tobacco smoke made from leaves of E. ulmoides has no nicotine, its effect on blood pressure and heart rate was negligible. Remarkable difference of heart rate changes in women was observed between tobacco cigarette smoking group and non-tobacco cigarette smoking group."
71,10.1186/s12937-016-0146-0,"Background: It has been suggested that coffee may affect the gut-brain axis with conflicting outcomes. Moreover, there is insufficient evidence to determine whether the type or temperature of coffee consumed will have a different impact on the gut-brain axis. The purpose of this study was to investigate the effects of acute coffee consumption on the following: 1. self-reported GI symptoms and salivary gastrin, 2. stress indices [salivary cortisol and alpha-amylase (sAA)] and psychometric measures, and 3. blood pressure (BP), in healthy, daily coffee consuming individuals in non-stressful conditions. Methods: This was a randomized, double blind, crossover clinical trial, in which 40 healthy individuals (20 men, 20 women), 20-55 years of age, randomly consumed four 200 ml coffee beverages containing 160 mg caffeine (hot and cold instant coffee, cold espresso, hot filtered coffee), 1 week apart. Salivary samples and psychometric questionnaires were collected at baseline and post-coffee consumption at 15,30, and 60 min for salivary gastrin and sAA measurements and at 60,120, and 180 min for cortisol measurements. BP was measured at beginning and end of each intervention. ClinicalTrials.gov ID: NCT02253628 RESULTS: Coffee consumption significantly increased sAA activity (P = 0.041), with significant differences only between cold instant and filter coffee at 15 and 30 min post-consumption (P < 0.05). Coffee temporarily increased salivary gastrin, without differences between coffee types. Coffee did not affect salivary cortisol or self-reported anxiety levels. Coffee consumption significantly increased BP, within the healthy physiological levels, in a gender specific manner at the end of the experimental periods, without differences between coffee types. Conclusion: Acute coffee consumption in non-stressful conditions activated sAA and BP but not salivary cortisol, indicating activation of the sympathetic nervous system. Post-coffee sAA increase without a concomitant cortisol increase may also indicate that coffee may have some anti-stress properties."
72,10.1038/s41598-017-08446-4,"Ingestion of water entails a variety of cardiovascular responses. However, the precise effect remains elusive. We aimed to determine in healthy adults the effect of water on cardiac workload and to investigate potential gender differences. We pooled data from two controlled studies where blood pressure (BP) and heart rate (HR) were continuously recorded before and after the ingestion of 355 mL of tap water. Additionally, we calculated double product by multiplying systolic BP with HR and evaluated spectral parameters referring to vagal tone. All parameters were investigated for potential differences based on gender. In response to water, HR, systolic BP, and double product decreased significantly during the first 30 min. However, these effects were attenuated for HR and double product and even abolished for systolic BP over the subsequent 30 min. Over the entire post-drink period (60 min), decreases in HR and double product (all P < 0.05) were observed. Spectral markers for vagal tone increased with the on-set of the water drink and remained elevated until the end (P < 0.005). No significant gender difference in cardiac workload parameters was observed. We provide evidence that drinking water decreases, in a time-dependent fashion, cardiac workload and that these responses appear not to be influenced by gender."
73,10.1207/S15327558IJBM0803_4,"High resting blood pressure is associated with decreased pain sensitivity. This study was designed to explore this relation in young, normotensive men and women. Twenty-nine women (mean age 19.1, range 18-29) and 26 men (mean age 19.3, range 18-25) rested for 10 min while systolic, diastolic, and mean arterial blood pressures were measured. They were then asked to complete a 2-min cold pressor task. Participants were asked to fill out the short form of the McGill Pain Questionnaire immediately after the pain task. Hierarchical regression analyses were performed to predict pain sensitivity from resting blood pressure, gender, and the interaction of resting blood pressure and gender. Resting systolic blood pressure was a significant predictor of pain sensitivity. Gender and the interaction between resting blood pressure and gender were not related to pain sensitivity. This suggests that the relation between resting blood pressure and pain sensitivity may be similar in men and women, at least in response to a cold pressor challenge."
74,10.1161/01.hyp.14.6.598,"The purpose of this study was to examine ambulatory blood pressure and heart rate patterns in healthy, normotensive adolescents and to determine the influence of race and gender on these patterns. Ambulatory blood pressure recordings were performed on 199 adolescents; 42 were black males, 55 were white males, 65 were black females, and 37 were white females. The mean age (+/- SD) was 13 +/- 2 years. Blood pressure readings were obtained with an automatic, noninvasive recorder. Black adolescents and white adolescents had similar blood pressures while awake (116/69 vs. 116/69 mm Hg), with boys having higher levels of systolic blood pressure (118 vs. 114 mm Hg) and comparable levels of diastolic blood pressure (69 vs. 69 mm Hg) relative to girls. The patterns while the adolescents were asleep, however, were different. White boys (106 mm Hg), white girls (105 mm Hg), and black girls (105 mm Hg) had similar systolic blood pressures during sleep. Black boys (112 mm Hg), however, had significantly higher systolic blood pressures while asleep. Black adolescents, as a group, had significantly higher diastolic blood pressures than white adolescents while asleep (64 vs. 61 mm Hg). Changes in blood pressure from awake to asleep were not related to changes in heart rate. Results of this study indicate that both race and gender are important determinants of the diurnal pattern of blood pressure and heart rate in adolescents."
75,10.1186/s12872-018-0855-8,"Background: Evidences suggest that central hemodynamics indexes are independent predictors of future cardiovascular events and all-cause mortality. Multiple factors have been pointed to have potential influence on central aortic function: height, heart rate, left ventricular ejection duration and blood pressure level. Data related to the influence of gender and postmenopausal status on aortic waveform reflection is scarce. We aim to evaluate the impact of gender and menopause on central blood pressure of hypertensive patients. Methods: In a cross sectional study 122 hypertensive patients (52 men and 70 women) were studied. Hypertension was defined as blood pressure (BP) levels ≥140/90 mmHg or use of antihypertensive drugs. Central arterial pressure, augmentation index (AIx) and augmentation index normalized to 75 bpm (AIx75) were obtained using applanation tonometry. Menopause and postmenopause history were accessed by a direct series of questions. Postmenopause was defined as at least one year since last menstruation. Patients were paired by age, gender and menopausal status, and the data were compared considering gender and menopausal status. Results: Height and weight were significantly lower in women than in men at the same age. Conversely, AIx (32.7 ± 9.8% vs. 20.1 ± 11.7%, p < 0.01), AIx75 (29.6 ± 6.7% vs. 18.3 ± 9.4%, p < 0.01) and central systolic blood pressure (136 ± 30 vs. 125 ± 23 mmHg, p = 0.03) were higher in women than men. The menopausal women (mean age of menopause = 48 years) had the worst indexes of aortic wave reflection, compared to men at the same age and younger women. Conclusion: Hypertensive women had both higher reflected aortic pressure waveform and central blood pressure indexes than hypertensive men, and these findings were worsened by the menopausal status."
